Job Title,Skills Mentioned,Location,Posted Date
Data Analyst,"Python, SQL, Excel",Toronto,2025-06-20
Cloud Developer,"AWS, JavaScript, Node.js",Vancouver,2025-06-21
DevOps Engineer,"Docker, Kubernetes, Jenkins",Toronto,2025-06-22
Full Stack Developer,"JavaScript, React, Node.js",Montreal,2025-06-21
Machine Learning Engineer,"Python, TensorFlow, SQL",Calgary,2025-06-23
Backend Developer,"Java, Spring Boot, MySQL",Toronto,2025-06-19
Frontend Developer,"JavaScript, HTML, CSS",Vancouver,2025-06-20
BI Analyst,"Power BI, SQL, Data Modeling",Calgary,2025-06-21
Data Scientist,"Python, SQL, Machine Learning",Montreal,2025-06-23
QA Automation Engineer,"Selenium, Python, Jenkins",Toronto,2025-06-20
